,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
108,107,Pete Alonso,NYM,160.0,597.0,685.0,162.0,95.0,27.0,0.0,40.0,95.0,131.0,67.0,16.0,128.0,12.0,9.0,0.0,17.0,5.0,1.0,0.271
109,108,Alan Trejo,COL,35.0,118.0,125.0,32.0,22.0,6.0,0.0,4.0,15.0,17.0,5.0,0.0,31.0,2.0,0.0,0.0,3.0,1.0,2.0,0.271
110,109,Andrew Vaughn,CHW,134.0,510.0,555.0,138.0,92.0,28.0,1.0,17.0,60.0,76.0,31.0,0.0,96.0,9.0,5.0,0.0,13.0,0.0,0.0,0.271
111,110,Ian Happ,CHC,158.0,573.0,641.0,155.0,94.0,42.0,2.0,17.0,72.0,72.0,58.0,4.0,149.0,6.0,4.0,0.0,11.0,9.0,4.0,0.271
112,111,Albert Pujols,STL,109.0,307.0,351.0,83.0,45.0,14.0,0.0,24.0,42.0,68.0,28.0,1.0,55.0,10.0,6.0,0.0,13.0,1.0,2.0,0.27
113,112,Francisco Lindor,NYM,161.0,630.0,706.0,170.0,114.0,25.0,5.0,26.0,98.0,107.0,59.0,2.0,133.0,10.0,7.0,0.0,11.0,16.0,6.0,0.27
114,113,Seby Zavala,CHW,61.0,178.0,205.0,48.0,32.0,14.0,0.0,2.0,22.0,21.0,19.0,0.0,64.0,3.0,2.0,3.0,1.0,0.0,0.0,0.27
115,114,Mookie Betts,LAD,142.0,572.0,639.0,154.0,76.0,40.0,3.0,35.0,117.0,82.0,55.0,0.0,104.0,8.0,4.0,0.0,8.0,12.0,2.0,0.269
116,115,Reese McGuire,- - -,89.0,249.0,274.0,67.0,49.0,14.0,1.0,3.0,25.0,22.0,12.0,0.0,56.0,3.0,3.0,6.0,6.0,1.0,0.0,0.269
117,116,Yadiel Hernandez,WSN,94.0,305.0,327.0,82.0,57.0,16.0,0.0,9.0,30.0,41.0,19.0,0.0,74.0,1.0,2.0,0.0,9.0,2.0,1.0,0.269
118,117,Josh Rojas,ARI,125.0,443.0,510.0,119.0,84.0,25.0,1.0,9.0,66.0,56.0,55.0,2.0,98.0,2.0,5.0,5.0,7.0,23.0,3.0,0.269
