player,threeyearG,threeyearPA,battingpos2023,2023modelPAs162
 Tyler Stephenson,68.0,213.0,5.81,655.0
 Kevin Newman,115.0,442.0,5.12,668.0
 Stuart Fairchild,29.0,64.0,6.76,638.0
 Curt Casali,73.0,219.0,8.81,601.0
 Jose Barrero,45.0,138.0,8.36,610.0
 TJ Friedl,43.0,147.0,nan,nan
 Jake Fraley,55.0,197.0,3.79,692.0
 Jason Vosler,38.0,96.0,6.0,652.0
 Will Benson,28.0,61.0,8.02,616.0
 Luke Maile,46.0,120.0,8.89,600.0
 Nick Senzel,69.0,252.0,5.78,656.0
 Henry Ramos,18.0,55.0,6.05,651.0
 Matt McLain,0.0,0.0,2.24,720.0
 TJ Hopkins,0.0,0.0,8.44,608.0
 Joey Votto,122.0,504.0,5.72,657.0
 Christian Encarnacion-Str,0.0,0.0,5.78,656.0
 Noelvi Marte,0.0,0.0,6.67,640.0
 Nick Martini,25.0,45.0,4.18,685.0
 Harrison Bader,108.0,350.0,5.65,658.0
 Alejo Lopez,38.0,90.0,7.0,634.0
 Yonathan Daza,110.0,370.0,6.0,652.0
 Kris Bryant,93.0,388.0,2.72,711.0
 Charlie Blackmon,148.0,609.0,1.32,736.0
 Ryan McMahon,148.0,571.0,3.77,692.0
 Elehuris Montero,53.0,185.0,6.32,646.0
 Elias Diaz,94.0,316.0,4.61,677.0
 Harold Castro,95.0,309.0,7.27,629.0
 Ezequiel Tovar,9.0,35.0,5.01,670.0
 Brian Serven,62.0,205.0,9.0,598.0
 Alan Trejo,32.0,88.0,7.56,624.0
 Brenton Doyle,0.0,0.0,8.34,610.0
 Michael Toglia,31.0,120.0,7.08,633.0
 Nolan Jones,28.0,94.0,4.83,673.0
 Coco Montes,0.0,0.0,7.7,621.0
 Connor Kaiser,0.0,0.0,9.0,598.0
 Brendan Rodgers,86.0,351.0,4.31,682.0
 Cole Tucker,54.0,169.0,8.0,616.0
