player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
Max Muncy,LAD,0.0,1.0,0.0,49.0,55.0,15.0,9.0,0.0,0.0
Justin Turner,LAD,0.0,0.0,4.0,14.0,60.0,46.0,2.0,0.0,0.0
Edwin Rios,LAD,0.0,0.0,0.0,4.0,7.0,2.0,3.0,2.0,2.0
Cody Bellinger,LAD,0.0,0.0,0.0,0.0,1.0,19.0,48.0,36.0,31.0
Gavin Lux,LAD,0.0,0.0,0.0,0.0,2.0,11.0,28.0,18.0,58.0
Austin Barnes,LAD,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,38.0
Will Smith,LAD,0.0,0.0,23.0,88.0,6.0,12.0,0.0,0.0,0.0
Chris Taylor,LAD,1.0,0.0,0.0,2.0,15.0,21.0,21.0,47.0,2.0
Hanser Alberto,LAD,0.0,0.0,0.0,0.0,3.0,6.0,8.0,10.0,11.0
Kevin Pillar,LAD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
Eddy Alvarez,LAD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0
Trayce Thompson,LAD,0.0,0.0,0.0,2.0,3.0,11.0,15.0,15.0,12.0
Jake Lamb,LAD,0.0,0.0,0.0,2.0,6.0,3.0,7.0,2.0,4.0
James Outman,LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Miguel Vargas,LAD,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0
Joey Gallo,LAD,0.0,0.0,0.0,3.0,6.0,28.0,30.0,7.0,27.0
Tony Wolters,LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mike Yastrzemski,SF,18.0,32.0,17.0,8.0,13.0,14.0,5.0,8.0,10.0
Brandon Belt,SF,0.0,25.0,7.0,21.0,10.0,2.0,0.0,1.0,0.0
Darin Ruf,SF,4.0,11.0,28.0,11.0,19.0,3.0,3.0,1.0,0.0
Joc Pederson,SF,16.0,18.0,9.0,55.0,3.0,3.0,0.0,0.0,0.0
Brandon Crawford,SF,0.0,0.0,1.0,12.0,37.0,34.0,20.0,8.0,0.0
Wilmer Flores,SF,1.0,48.0,56.0,13.0,5.0,8.0,0.0,0.0,0.0
Thairo Estrada,SF,3.0,7.0,4.0,1.0,29.0,42.0,37.0,5.0,0.0
Joey Bart,SF,0.0,0.0,0.0,0.0,0.0,2.0,10.0,21.0,49.0
Austin Slater,SF,44.0,3.0,3.0,0.0,1.0,1.0,8.0,1.0,0.0
Heliot Ramos,SF,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0
Luke Williams,SF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0
Curt Casali,SF,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14.0,32.0
Jason Vosler,SF,0.0,0.0,0.0,0.0,0.0,2.0,9.0,16.0,2.0
Luis Gonzalez,SF,10.0,4.0,0.0,0.0,10.0,10.0,12.0,28.0,15.0
Jason Krizan,SF,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Kevin Padlo,SF,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0
LaMonte Wade Jr.,SF,38.0,6.0,2.0,0.0,4.0,1.0,2.0,5.0,4.0
Evan Longoria,SF,0.0,0.0,11.0,26.0,20.0,10.0,0.0,0.0,0.0
Donovan Walton,SF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.0
Tommy La Stella,SF,21.0,0.0,0.0,0.0,1.0,3.0,10.0,9.0,3.0
Michael Papierski,SF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0
Stuart Fairchild,SF,0.0,0.0,0.0,1.0,8.0,7.0,6.0,4.0,4.0
Austin Wynns,SF,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,26.0
Yermin Mercedes,SF,0.0,1.0,8.0,5.0,1.0,2.0,3.0,0.0,0.0
David Villar,SF,0.0,2.0,0.0,2.0,4.0,19.0,17.0,3.0,0.0
Dixon Machado,SF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
J.D. Davis,SF,0.0,1.0,13.0,7.0,20.0,14.0,14.0,12.0,0.0
Bryce Johnson,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
Andrew Knapp,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0
Lewis Brinson,SF,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Austin Dean,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Willie Calhoun,SF,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,1.0
Ford Proctor,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Myles Straw,CLE,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
Steven Kwan,CLE,99.0,26.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0
Jose Ramirez,CLE,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
Amed Rosario,CLE,0.0,127.0,0.0,1.0,15.0,3.0,3.0,1.0,0.0
Bobby Bradley,CLE,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Oscar Mercado,CLE,0.0,0.0,0.0,0.0,1.0,5.0,6.0,18.0,1.0
Andres Gimenez,CLE,2.0,1.0,1.0,2.0,36.0,52.0,31.0,4.0,4.0
Austin Hedges,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,34.0
Owen Miller,CLE,2.0,2.0,3.0,33.0,15.0,35.0,18.0,1.0,0.0
Bryan Lavastida,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Josh Naylor,CLE,0.0,0.0,1.0,72.0,36.0,6.0,1.0,0.0,0.0
Gabriel Arias,CLE,0.0,1.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0
