player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Bryson Stott,6.33,6,15,PHI,Bryson Stott ,583,0.256,0.035,11,8,64,19,53,17,26,12,95,,646.0,63.0
Sam Hilliard,6.38,8,16,COL,Sam Hilliard ,265,0.231,0.042,9,5,28,8,27,8,4,3,248,,645.0,380.0
Ernie Clement,6.38,8,16,TOR,Ernie Clement ,327,0.246,0.038,4,4,24,8,22,8,3,3,285,,645.0,318.0
Ildemaro Vargas,6.43,7,18,AZ,Ildemaro Vargas ,125,0.248,0.032,1,1,10,3,11,3,2,1,368,,644.0,519.0
Chas McCormick,6.43,7,15,HOU,Chas McCormick ,414,0.239,0.034,13,7,50,14,50,14,10,6,140,,644.0,230.0
Christian Vazquez,6.5,6,15,MIN,Christian Vazquez ,289,0.232,0.031,5,3,27,8,26,8,2,2,277,,643.0,354.0
Austin Hedges,6.5,6,15,CLE,Austin Hedges ,179,0.168,0.028,2,2,14,5,16,5,1,1,350,,643.0,464.0
Esteury Ruiz,6.67,6,17,ATH,Esteury Ruiz ,132,0.253,0.065,0,1,4,2,3,2,4,2,380,,640.0,508.0
Brooks Lee,6.67,9,15,MIN,Brooks Lee ,449,0.227,0.044,4,4,13,10,31,11,3,4,301,,640.0,191.0
Angel Martinez,6.71,7,15,CLE,Angel Martinez ,190,0.231,0.045,1,1,8,4,6,3,1,1,378,,639.0,449.0
Darell Hernaiz,6.83,6,17,ATH,Darell Hernaiz ,138,0.188,0.043,0,1,4,2,6,2,0,1,408,,637.0,499.0
Tyler Fitzgerald,6.83,6,16,SF,Tyler Fitzgerald ,541,0.274,0.051,10,7,41,14,26,11,14,8,184,,637.0,96.0
Ceddanne Rafaela,6.86,7,15,BOS,Ceddanne Rafaela ,432,0.248,0.046,5,4,25,10,27,10,6,5,263,,637.0,205.0
Jose Trevino,6.86,7,15,CIN,Jose Trevino ,245,0.223,0.032,6,4,24,7,26,8,1,2,294,,637.0,392.0
Jared Triolo,6.89,9,16,PIT,Jared Triolo ,243,0.246,0.037,3,3,21,7,19,6,3,3,318,,636.0,393.0
Leody Taveras,7.0,10,17,TEX,Leody Taveras ,342,0.239,0.032,7,4,37,11,32,10,11,6,195,,634.0,292.0
Jake Rogers,7.14,7,15,DET,Jake Rogers ,351,0.213,0.035,12,6,38,11,36,11,1,3,223,,631.0,280.0
Kevin Pillar,7.17,6,17,TEX,Kevin Pillar ,159,0.231,0.036,5,2,17,5,20,5,3,2,324,,631.0,472.0
Jacob Stallings,7.17,6,16,COL,Jacob Stallings ,266,0.236,0.033,5,3,26,8,27,8,0,3,298,,631.0,365.0
Stuart Fairchild,7.17,6,15,CIN,Stuart Fairchild ,221,0.227,0.035,6,3,27,7,23,7,7,4,259,,631.0,410.0
Isiah Kiner-Falefa,7.25,8,16,PIT,Isiah Kiner-Falefa ,483,0.263,0.035,7,5,54,16,44,14,13,8,151,,630.0,147.0
Orlando Arcia,7.25,8,15,ATL,Orlando Arcia ,535,0.236,0.034,14,8,49,16,48,16,2,5,164,,630.0,95.0
Austin Martin,7.29,7,15,MIN,Austin Martin ,155,0.257,0.048,0,1,11,4,5,2,2,1,382,,629.0,474.0
