player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Marco Luciano,0,0.0,0.0,6.62,641.0,616,0.0,0.0,0.0,0.0
A.J. Pollock,509,505.0,527.0,nan,nan,598.0,134.0,138.0,117.0,148.0
Mark Mathias,111,94.0,91.0,7.76,620.0,598.0,37.0,30.0,0.0,43.0
Wade Meckler,0,0.0,0.0,6.0,652.0,598.0,0.0,0.0,0.0,0.0
Johan Camargo,192,176.0,166.0,7.8,620.0,598.0,54.0,52.0,15.0,94.0
Tyler Fitzgerald,0,0.0,0.0,8.7,603.0,598.0,0.0,0.0,0.0,0.0
Steven Kwan,673,638.0,638.0,1.0,742.0,742,147.0,147.0,0.0,0.0
Jose Ramirez,702,669.0,685.0,2.72,711.0,724,155.0,157.0,152.0,157.0
Josh Bell,697,606.0,647.0,4.03,687.0,724,151.0,156.0,144.0,154.0
Josh Naylor,532,343.0,498.0,3.95,689.0,706,100.0,122.0,69.0,108.0
Oscar Gonzalez,336,382.0,382.0,5.04,669.0,598.0,91.0,91.0,0.0,0.0
Andres Gimenez,604,374.0,557.0,5.08,669.0,670,115.0,146.0,68.0,132.0
Mike Zunino,133,242.0,123.0,7.68,622.0,598.0,74.0,36.0,109.0,76.0
Myles Straw,561,489.0,596.0,8.32,610.0,598,133.0,152.0,158.0,89.0
Cam Gallagher,66,111.0,47.0,8.94,599.0,598.0,44.0,18.0,48.0,68.0
Gabriel Arias,59,57.0,57.0,6.78,638.0,598.0,16.0,16.0,0.0,0.0
Will Brennan,41,45.0,45.0,6.8,638.0,598.0,11.0,11.0,0.0,0.0
Tyler Freeman,89,86.0,86.0,5.64,658.0,598.0,24.0,24.0,0.0,0.0
David Fry,0,0.0,0.0,6.24,648.0,598.0,0.0,0.0,0.0,0.0
Brayan Rocchio,0,0.0,0.0,6.14,649.0,616,0.0,0.0,0.0,0.0
Bo Naylor,20,8.0,8.0,8.31,610.0,634,5.0,5.0,0.0,0.0
Kole Calhoun,461,407.0,424.0,3.98,688.0,598.0,107.0,125.0,51.0,146.0
Jose Tena,0,0.0,0.0,8.75,602.0,598.0,0.0,0.0,0.0,0.0
Zack Collins,133,129.0,108.0,8.5,607.0,598.0,46.0,36.0,78.0,24.0
Eric Haase,406,261.0,351.0,7.3,629.0,598.0,76.0,110.0,98.0,19.0
Julio Rodriguez,590,560.0,560.0,1.9,726.0,724,132.0,132.0,0.0,0.0
Ty France,579,560.0,613.0,3.95,689.0,670,136.0,140.0,152.0,116.0
Teoscar Hernandez,484,563.0,535.0,4.71,675.0,598,136.0,131.0,143.0,135.0
Cal Raleigh,519,282.0,415.0,4.77,674.0,706,83.0,119.0,47.0,0.0
Eugenio Suarez,620,609.0,629.0,4.18,685.0,670,150.0,150.0,145.0,154.0
Jarred Kelenic,205,279.0,181.0,4.73,675.0,616,74.0,54.0,93.0,0.0
Cooper Hummel,244,201.0,201.0,7.67,622.0,598.0,66.0,66.0,0.0,0.0
J.P. Crawford,664,639.0,603.0,2.71,711.0,742,149.0,145.0,160.0,143.0
Tommy La Stella,221,351.0,195.0,7.2,630.0,598.0,95.0,60.0,76.0,148.0
