,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
167,"Urías, Luis",MIL,30.0,7.0,0.0,1.0,14.0,35.0,25.0,20.0,0.0
168,"Woodruff, Brandon",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
169,"Bradley Jr., Jackie",MIL,8.0,0.0,0.0,0.0,11.0,5.0,20.0,53.0,3.0
170,"Arcia, Orlando",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
171,"Burnes, Corbin",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
172,"Piña, Manny",MIL,0.0,0.0,0.0,2.0,5.0,8.0,13.0,23.0,1.0
173,"Houser, Adrian",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
174,"Anderson, Brett",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0
175,"Vogelbach, Daniel",MIL,0.0,32.0,4.0,2.0,5.0,5.0,6.0,1.0,0.0
176,"Peralta, Freddy",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
177,"Robertson, Daniel",MIL,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0
178,"Peterson, Jace",MIL,6.0,2.0,0.0,0.0,5.0,25.0,19.0,8.0,1.0
179,"McKinney, Billy",MIL,0.0,1.0,0.0,0.0,1.0,10.0,6.0,1.0,0.0
180,"Lindblom, Josh",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,"Taylor, Tyrone",MIL,3.0,3.0,9.0,1.0,17.0,11.0,9.0,3.0,0.0
182,"Reyes, Pablo",MIL,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0
183,"Godley, Zack",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,"Lauer, Eric",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
185,"Maile, Luke",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
186,"Nottingham, Jacob",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
187,"Bettinger, Alec",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,"Suter, Brent",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,"Adames, Willy",MIL,0.0,51.0,18.0,4.0,5.0,10.0,7.0,1.0,0.0
190,"Lopes, Tim",MIL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
191,"Fisher, Derek",MIL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
192,"Sánchez, Miguel",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,"Tellez, Rowdy",MIL,0.0,0.0,1.0,2.0,14.0,8.0,15.0,2.0,0.0
194,"Escobar, Eduardo",MIL,0.0,11.0,13.0,18.0,3.0,1.0,0.0,0.0,0.0
195,"Ashby, Aaron",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
196,"Gustave, Jandel",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
197,"Edman, Tommy",STL,124.0,0.0,0.0,0.0,4.0,15.0,8.0,2.0,1.0
198,"Goldschmidt, Paul",STL,0.0,100.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
199,"Arenado, Nolan",STL,0.0,0.0,61.0,96.0,0.0,0.0,0.0,0.0,0.0
200,"DeJong, Paul",STL,0.0,0.0,0.0,10.0,24.0,14.0,31.0,19.0,2.0
201,"O'Neill, Tyler",STL,0.0,0.0,35.0,40.0,25.0,20.0,9.0,1.0,0.0
202,"Molina, Yadier",STL,0.0,0.0,0.0,12.0,67.0,39.0,0.0,0.0,0.0
203,"Carlson, Dylan",STL,35.0,60.0,7.0,0.0,21.0,13.0,7.0,2.0,0.0
204,"Williams, Justin",STL,0.0,0.0,0.0,0.0,0.0,5.0,9.0,17.0,1.0
205,"Flaherty, Jack",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
206,"Wainwright, Adam",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
207,"Martínez, Carlos",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
208,"Dean, Austin",STL,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
209,"Ponce de Leon, Daniel",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
210,"Carpenter, Matt",STL,1.0,2.0,2.0,4.0,12.0,9.0,12.0,2.0,0.0
211,"Gant, John",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
212,"Thomas, Lane",STL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0
213,"Oviedo, Johan",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
214,"Knizner, Andrew",STL,0.0,0.0,0.0,0.0,0.0,2.0,7.0,33.0,1.0
215,"Sosa, Edmundo",STL,0.0,0.0,0.0,0.0,2.0,10.0,36.0,26.0,1.0
216,"Kim, Kwang Hyun",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
217,"Bader, Harrison",STL,1.0,0.0,0.0,0.0,5.0,22.0,27.0,46.0,1.0
218,"Sánchez, Ali",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
219,"Moroff, Max",STL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
220,"Mikolas, Miles",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
221,"Rondón, José",STL,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0
222,"Woodford, Jake",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
223,"Nootbaar, Lars",STL,1.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,3.0
224,"LeBlanc, Wade",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
225,"Lester, Jon",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
226,"Happ, J.A.",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
227,"Hudson, Dakota",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
228,"Happ, Ian",CHC,20.0,3.0,45.0,14.0,9.0,14.0,7.0,7.0,2.0
229,"Contreras, Willson",CHC,32.0,33.0,4.0,21.0,22.0,0.0,0.0,0.0,1.0
230,"Rizzo, Anthony",CHC,4.0,6.0,50.0,31.0,0.0,0.0,0.0,0.0,0.0
231,"Bryant, Kris",CHC,0.0,64.0,3.0,22.0,1.0,0.0,0.0,0.0,0.0
232,"Pederson, Joc",CHC,42.0,0.0,1.0,1.0,15.0,4.0,3.0,1.0,0.0
233,"Báez, Javier",CHC,0.0,0.0,38.0,27.0,9.0,12.0,0.0,0.0,0.0
234,"Heyward, Jason",CHC,0.0,0.0,0.0,1.0,12.0,42.0,34.0,2.0,1.0
235,"Bote, David",CHC,1.0,2.0,5.0,2.0,21.0,13.0,22.0,12.0,1.0
236,"Hendricks, Kyle",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
237,"Marisnick, Jake",CHC,0.0,0.0,0.0,0.0,6.0,8.0,10.0,3.0,0.0
