,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
188,"Beaty, Matt",LAD,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0
189,"Ríos, Edwin",LAD,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,3.0
190,"Ruiz, Keibert",LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
191,"Lux, Gavin",LAD,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0
192,"McKinstry, Zach",LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,"Yastrzemski, Mike",SF,38.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
194,"Flores, Wilmer",SF,0.0,12.0,9.0,8.0,18.0,3.0,0.0,0.0,0.0
195,"Sandoval, Pablo",SF,0.0,2.0,2.0,0.0,1.0,9.0,4.0,0.0,0.0
196,"Dickerson, Alex",SF,2.0,30.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
197,"Pence, Hunter",SF,0.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0
198,"McCarthy, Joe",SF,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
199,"Dubón, Mauricio",SF,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,28.0
200,"Crawford, Brandon",SF,0.0,0.0,0.0,0.0,3.0,6.0,26.0,11.0,1.0
201,"Heineman, Tyler",SF,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,4.0
202,"Davis, Jaylin",SF,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
203,"Brantly, Rob",SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,"Slater, Austin",SF,19.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
205,"Solano, Donovan",SF,1.0,11.0,22.0,0.0,6.0,5.0,1.0,0.0,0.0
206,"Ruf, Darin",SF,0.0,0.0,4.0,5.0,3.0,3.0,9.0,0.0,0.0
207,"Tromp, Chadwick",SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0
208,"Belt, Brandon",SF,0.0,1.0,4.0,30.0,3.0,3.0,0.0,0.0,0.0
209,"Longoria, Evan",SF,0.0,0.0,10.0,10.0,19.0,11.0,0.0,0.0,0.0
210,"Duggar, Steven",SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
211,"Bart, Joey",SF,0.0,0.0,0.0,0.0,0.0,2.0,6.0,17.0,3.0
