,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
151,Eduardo Escobar,599.0,599.4000000000001,3.347826086956522,4.962264150943396,46.0,143.10000000000002,0.008629245466214942,573.4518584905661,593.2466739130434
152,Pavin Smith,545.0,118.80000000000001,3.92,6.545454545454546,125.0,29.700000000000003,0.00727648852157943,313.5440454545454,559.1603
153,Stephen Vogt,238.0,218.70000000000002,7.318181818181818,6.904761904761905,22.0,56.7,0.0027712186803095893,359.04402380952376,238.0
154,Tim Locastro,156.0,221.4,3.8461538461538463,2.4375,26.0,43.2,0.007395165598290599,415.7210625,156.0
155,Carson Kelly,359.0,348.3,4.2375,8.114285714285714,80.0,94.5,0.013529797335600906,408.86407142857144,462.22806249999996
156,Wyatt Mathisen,51.0,89.10000000000001,5.375,7.125,8.0,21.6,0.005208333333333333,291.516375,51.0
157,Josh VanMeter,310.0,213.3,4.358208955223881,3.2222222222222223,67.0,24.3,0.011856600542524156,401.9522777777778,436.2330820895522
158,Kole Calhoun,182.0,615.6,2.8,2.849056603773585,40.0,143.10000000000002,0.0030851973814326962,607.7239339622641,182.0
159,Nick Ahmed,473.0,585.9000000000001,6.077586206896552,7.410714285714286,116.0,151.20000000000002,0.0063950136634122546,536.3778035714286,496.4385948275862
160,Andy Young,104.0,91.80000000000001,6.166666666666667,6.5,18.0,21.6,0.006751543209876544,300.60699999999997,104.0
161,Nick Heath,39.0,48.6,8.0,8.5,8.0,10.8,0.013888888888888888,254.237,39.0
162,Daulton Varsho,315.0,310.5,6.305555555555555,6.896551724137931,72.0,78.30000000000001,0.0037829693160373132,405.04570689655174,414.61519444444446
163,Josh Reddick,158.0,567.0,6.090909090909091,5.925925925925926,33.0,145.8,0.010175013635544872,545.3169074074074,158.0
164,Ildemaro Vargas,83.0,145.8,7.4,8.5,5.0,5.4,0.009444444444444445,302.837,83.0
165,Bryan Holaday,34.0,89.10000000000001,8.1,8.25,10.0,21.6,0.017916666666666668,277.58325,34.0
166,Mookie Betts,550.0,664.2,1.206896551724138,1.2075471698113207,116.0,143.10000000000002,0.0017948320332494862,652.3540283018867,595.2620862068966
167,Corey Seager,409.0,626.4000000000001,3.066666666666667,2.826923076923077,90.0,140.4,0.002786056931356077,613.3980576923077,501.72883333333334
168,Justin Turner,612.0,472.50000000000006,3.2928571428571427,3.261904761904762,140.0,113.4,0.00117283950617284,531.0608095238096,600.4274642857142
169,Cody Bellinger,350.0,656.1,5.620253164556962,4.303571428571429,79.0,151.20000000000002,0.0032270023255256287,609.9597678571429,440.60266455696205
170,Max Muncy,592.0,669.6,3.036764705882353,3.913793103448276,136.0,156.60000000000002,0.004977830687776265,621.5371724137931,593.5991691176471
171,Chris Taylor,582.0,577.8000000000001,4.628787878787879,6.163265306122449,132.0,132.3,0.001963923285373944,547.7774591836735,568.8819621212122
172,Gavin Lux,381.0,186.3,6.440860215053763,7.8125,93.0,43.2,0.0058056296248121175,331.6016875,445.93944623655915
173,Austin Barnes,225.0,280.8,7.846153846153846,8.925925925925926,52.0,72.9,0.03610532224215352,365.0619074074074,225.0
174,Will Smith,501.0,369.90000000000003,4.893805309734513,7.0588235294117645,113.0,91.80000000000001,0.006594111634202511,432.7359705882353,525.0997212389381
175,A.J. Pollock,422.0,567.0,6.020408163265306,5.148936170212766,98.0,126.9,0.0015027931393792233,554.9399255319149,471.6467448979592
176,Edwin Rios,60.0,224.10000000000002,7.090909090909091,7.7894736842105265,11.0,51.300000000000004,0.0037239684683653446,350.78686842105265,60.0
177,Zach McKinstry,172.0,18.900000000000002,7.475,9.0,40.0,2.7,0.031076388888888893,233.1945,172.0
178,Matt Beaty,234.0,145.8,5.866666666666666,7.571428571428571,45.0,37.800000000000004,0.005091682763640434,314.3373571428572,234.0
179,Albert Pujols,296.0,440.1,5.954545454545454,5.2631578947368425,22.0,102.60000000000001,0.005925217931009923,490.0752894736842,296.0
180,Yoshi Tsutsugo,262.0,499.50000000000006,6.833333333333333,4.642857142857143,6.0,113.4,0.009983623078861173,527.4577142857142,262.0
181,Steven Souza Jr.,36.0,83.7,6.75,6.428571428571429,8.0,18.900000000000002,0.0067495748299319725,297.4416428571429,36.0
182,Billy McKinney,300.0,8.100000000000001,6.157894736842105,7.0,19.0,2.7,0.02092951677439212,252.56449999999998,408.9439736842105
183,Trea Turner,646.0,699.3000000000001,1.9807692307692308,1.3898305084745763,52.0,159.3,0.005083137992834588,667.6464491525423,633.677673076923
184,Austin Slater,306.0,280.8,2.43859649122807,2.0869565217391304,57.0,62.1,0.0003612182159485652,449.7625434782609,458.00748245614034
185,Mike Yastrzemski,532.0,607.5,3.672268907563025,1.5192307692307692,119.0,140.4,0.015275948817861052,620.1438269230769,555.7284495798319
186,Donovan Solano,344.0,548.1,5.556962025316456,3.391304347826087,79.0,124.2,0.006486071722318156,567.258195652174,438.3865253164557
187,Evan Longoria,291.0,564.3000000000001,4.91044776119403,4.62,67.0,135.0,0.0016895571891784858,560.1408,291.0
188,Brandon Belt,381.0,483.3,3.388235294117647,4.073170731707317,85.0,110.7,0.005465462992886322,526.4132804878049,483.7462058823529
189,Wilmer Flores,436.0,575.1,4.785714285714286,3.82,98.0,135.0,0.0020642880281364242,575.4488,493.9384285714286
190,Brandon Crawford,549.0,521.1,5.369230769230769,7.0212765957446805,130.0,126.9,0.011579982255366175,508.80098936170214,543.2115769230769
191,Mauricio Dubon,187.0,477.90000000000003,7.435897435897436,8.326086956521738,39.0,124.2,0.010984338010415276,471.0409130434783,187.0
192,Darin Ruf,312.0,270.0,3.8412698412698414,5.333333333333333,63.0,64.80000000000001,0.004373740236835475,404.15616666666665,443.63537301587303
