,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
124,123,Francisco Lindor,NYM,10,33,43,9,4,2,0,3,9,7,9,0,5,1,0,0,0,2,1,.273
125,124,Tyler Naquin,CIN,9,33,36,9,5,3,0,1,4,5,3,0,9,0,0,0,0,1,0,.273
126,125,Will Smith,LAD,6,22,25,6,3,2,0,1,5,7,3,0,4,0,0,0,0,0,0,.273
127,126,Bryan Reynolds,PIT,8,33,35,9,7,0,0,2,3,3,2,0,7,0,0,0,2,0,0,.273
128,127,Joey Bart,SFG,7,22,26,6,3,1,0,2,4,4,4,0,13,0,0,0,0,1,0,.273
129,128,Anthony Santander,BAL,9,26,36,7,5,1,0,1,1,1,8,1,6,2,0,0,0,0,0,.269
130,129,Johan Camargo,PHI,9,26,28,7,5,2,0,0,0,2,2,0,4,0,0,0,0,0,0,.269
131,130,George Springer,TOR,10,41,44,11,5,4,0,2,7,5,2,0,13,1,0,0,0,1,0,.268
132,131,Mike Trout,LAA,9,30,37,8,3,3,0,2,8,3,6,0,6,1,0,0,0,0,0,.267
133,132,Jorge Alfaro,SDP,4,15,15,4,2,1,0,1,1,1,0,0,8,0,0,0,0,0,0,.267
134,133,Adam Engel,CHW,8,15,18,4,3,1,0,0,2,0,3,0,3,0,0,0,0,2,0,.267
135,134,Jorge Mateo,BAL,9,30,35,8,7,1,0,0,3,3,4,0,12,0,0,1,0,3,0,.267
136,135,Didi Gregorius,PHI,9,34,36,9,7,2,0,0,2,2,1,0,6,1,0,0,0,0,0,.265
137,136,Giancarlo Stanton,NYY,10,38,40,10,7,1,0,2,3,8,1,0,13,0,1,0,0,0,0,.263
138,137,Starling Marte,NYM,9,38,41,10,7,1,0,2,8,10,1,0,4,2,0,0,2,2,1,.263
139,138,Adam Duvall,ATL,11,38,43,10,6,4,0,0,5,6,4,0,14,1,0,0,0,0,0,.263
140,139,Amed Rosario,CLE,9,38,39,10,9,0,1,0,4,4,1,0,5,0,0,0,1,1,1,.263
141,140,Sheldon Neuse,OAK,8,23,26,6,5,0,0,1,4,5,1,0,8,2,0,0,0,0,0,.261
142,141,Brandon Marsh,LAA,8,23,28,6,4,1,0,1,4,8,3,0,6,1,1,0,0,1,1,.261
